Afganistán,93
Albania,355
Alemania,49
Andorra,376
Angola,244
Anguila,1264
Antártida,672
Antigua y Barbuda,1268
Antillas Holandesas,599
Arabia Saudí,966
Argelia,213
Argentina,54
Armenia,374
Aruba,297
Ascension Island,247
Australia,61
Austria,43
Azerbaiyán,994
Bahamas,1242
Bahrain,973
Bangladesh,880
Barbados,1246
Belarus,375
Bélgica,32
Belize,501
Benin,229
Bermuda,1441
Bhutan,975
Bolivia,591
Bosnia y Herzegovina,387
Botswana,267
Brasil,55
Brunei Darussalam,673
Bulgaria,359
Burkina Faso,226
Burundi,257
Cabo Verde,238
Camboya,855
Camerún,237
Canadá,1
Chad,235
Chequia,420
Chile,56
China,86
Chipre,357
Colombia,57
"Comores, Islas",269
Costa de Marfil,225
Costa Rica,506
Croacia,385
Cuba,53
Dinamarca,45
Djibouti,253
Dominica,1767
Ecuador,593
Egipto,20
El Salvador,503
Emiratos Árabes Unidos,971
Eritrea,291
Eslovaquia,421
Eslovenia,386
España,34
Estados Federados de Micronesia,691
,
,
Estados Unidos,1
Estonia,372
Esvalbard y Jan Mayen,79
Etiopía,251
Fiji,679
Filipinas,63
Finlandia,358
Francia,33
Gabón,241
Gambia,220
Georgia,995
Ghana,233
Gibraltar,350
Granada,1473
Grecia,30
Groenlandia,299
Guadalupe,590
Guam,1671
Guatemala,502
Guernsey,44
Guinea,224
Guinea Ecuatorial,240
Guinea Francesa,594
Guinea-Bissau,245
Guyana,592
Haití,509
Honduras,504
Hong Kong,852
Hungría,36
India,91
Indonesia,62
Irak,964
Irán,98
Isla Navidad,61/672
Islandia,354
Islas Caimán,1345
Islas Cook,682
Islas de Norte-Mariana,1670
Islas Feroe,298
Islas Malvinas,500
Islas Marshall,692
Islas Norfolk,672
Islas Salomón,677
Islas Turks y Caicos,1649
Islas Ultramarinas de Estados Unidos,808
Islas Vírgenes Británicas,1284
Islas Vírgenes Estadounidenses,1340
Isle of Man,44
Israel,972
Italia,39
Jamaica,1876
Japón,81
Jersey,44
Jordania,962
Kazajstán,7
Kenia,254
Kirgistán,996
Kiribati,686
Kuwait,965
Lesoto,266
Letonia,371
Libano,961
Liberia,231
Libia,218
Liechtenstein,41
Lituania,370
Luxemburgo,352
Macao,853
Macedonia,389
Madagascar,261
Malasia,60
Malawi,265
Maldivas,960
Mali,223
Malta,356
Marruecos,212
Martinica,596
Mauricio,230
Mauritania,222
Mayote,269
México,52
Mianmar,95
Moldavia,373
Mónaco,377
Mongolia,976
Montserrat,1664
Mozambique,258
Namibia,264
Nauru,674
Nepal,977
Nicaragua,505
Níger,227
Nigeria,234
Niue,683
Noruega,47
Nueva Caledonia,687
Nueva Zelanda,64
Omán,968
Países Bajos,31
Pakistán,92
Palau,680
Palestina,970
Panamá,507
Papúa Nueva Guinea,675
Paraguay,595
Perú,51
Pitcairn,872
Polinesia Francesa,689
Polonia,48
Portugal,351
Puerto Rico,1
Qatar,974
Reino Unido,44
República Centroafricana,236
República de Corea (Corea del Sur),82
República de Irlanda,353
República del Congo,242
República Democrática del Congo,243
República Democrática Popular de Corea (Corea del Norte),850
República Democrática Popular de Laos,856
República Dominicana,1809
,1829
,1849
Reunión,262
Ruanda,250
Rumanía,40
Rusia,7
Sáhara Occidental,212
"Samoa, Isla",685
"Samoa Americana, Isla",684
San Marino,378
San Pedro y Miquelon,508
San Vincente y Las Granadinas,1784
Santa Helena,290
Santa Kitts y Nevis,1869
Santa Lucía,1758
Santo Tomé y Príncipe,239
Senegal,221
Serbia y Montenegro,42
Seychelles,248
Sierra Leona,232
Singapur,65
Siria,963
Somalia,252
Sri Lanka,94
Suazilandia,268
Sudáfrica,27
Sudán,249
Suecia,46
Suiza,41
Surinám,597
Tailandia,66
Taiwán,886
Tajikistán,992
Tanzania,255/259
Territorio Oceánico de la India Británica,246
Timor,670
Timor Leste,670
Togo,228
Tokelau,690
Tongo,676
Trinidad y Tobago,1868
Túnez,216
Turkmenistán,993
Turquía,90
Tuvalu,688
Ucrania,380
Uganda,256
Unión Soviética,7
Uruguay,598
Uzbekistán,998
Vanuatu,678
Vaticano,379
Venezuela,58
Vietnam,84
Wallis y Futuna,681
Yemen,967
Yugoslavia,381
Zaire,243
Zambia,260
Zimbawe,263
